Title,Author,Genre,Number of pages,Publisher,price
Fundamentals of Wavelets,"Goswami, Jaideva",signal_processing,228,Wiley,100
Data Smart,"Foreman, John",data_science,235,Wiley,150
God Created the Integers,"Hawking, Stephen",mathematics,197,Penguin,20
Superfreakonomics,"Dubner, Stephen",economics,179,HarperCollins,180
Orientalism,"Said, Edward",history,197,Penguin,120
Nature of Statistical Learning Theory,"Vapnik, Vladimir",data_science,230,Springer,80
Integration of the Indian States,"Menon, V P",history,217,Orient Blackswan,320
Drunkard's Walk,"Mlodinow, Leonard",science,197,Penguin,120
Image Processing & Mathematical Morphology,"Shih, Frank",signal_processing,241,CRC,120
How to Think Like Sherlock Holmes,"Konnikova, Maria",psychology,240,Penguin,60
Data Scientists at Work,Sebastian Gutierrez,data_science,230,Apress,80
Slaughterhouse Five,"Vonnegut, Kurt",fiction,198,Random House,90
Birth of a Theorem,"Villani, Cedric",mathematics,234,Bodley Head,160
Structure & Interpretation of Computer Programs,"Sussman, Gerald",computer_science,240,MIT Press,120
Age of Wrath,"Eraly, Abraham",history,238,Penguin,100
Trial,"Kafka, Frank",fiction,198,Random House,100
Statistical Decision Theory',"Pratt, John",data_science,236,MIT Press,100
Data Mining Handbook,"Nisbet, Robert",data_science,242,Apress,100
"New Machiavelli, The","Wells, H. G.",fiction,180,Penguin,100
Physics & Philosophy,"Heisenberg, Werner",science,197,Penguin,250
Making Software,"Oram, Andy",computer_science,232,O'Reilly,360
"Analysis, Vol I","Tao, Terence",mathematics,248,HBA,180
Machine Learning for Hackers,"Conway, Drew",data_science,233,O'Reilly,60
"Signal and the Noise, The","Silver, Nate",data_science,233,Penguin,80
Python for Data Analysis,"McKinney, Wes",data_science,233,O'Reilly,90
Introduction to Algorithms,"Cormen, Thomas",computer_science,234,MIT Press,150
"Beautiful and the Damned, The","Deb, Siddhartha",nonfiction,198,Penguin,300
"Outsider, The","Camus, Albert",fiction,198,Penguin,30
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",fiction,176,Random House,50
"Complete Sherlock Holmes, The - Vol II","Doyle, Arthur Conan",fiction,176,Random House,30
"Wealth of Nations, The","Smith, Adam",economics,175,Random House,120
"Pillars of the Earth, The","Follett, Ken",fiction,176,Random House,120
Mein Kampf,"Hitler, Adolf",nonfiction,212,Rupa,120
"Tao of Physics, The","Capra, Fritjof",science,179,Penguin,120
Surely You're Joking Mr Feynman,"Feynman, Richard",science,198,Random House,120
"Farewell to Arms, A","Hemingway, Ernest",fiction,179,Rupa,120
"Veteran, The","Forsyth, Frederick",fiction,177,Transworld,120
False Impressions,"Archer, Jeffery",fiction,177,Pan,120
